一级分类,分类描述,分类颜色,标签组,标签组描述,Tag,操作说明
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,实验方法,细胞和组织相关实验方法,细胞传代,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,实验方法,细胞和组织相关实验方法,细胞冻存,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,实验方法,细胞和组织相关实验方法,细胞复苏,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,实验方法,细胞和组织相关实验方法,细胞转染,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,实验方法,细胞和组织相关实验方法,免疫荧光,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,实验方法,细胞和组织相关实验方法,免疫组化,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,实验方法,细胞和组织相关实验方法,流式细胞术,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,实验方法,细胞和组织相关实验方法,细胞活力,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,实验方法,细胞和组织相关实验方法,细胞迁移,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,实验方法,细胞和组织相关实验方法,细胞侵袭,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,实验方法,细胞和组织相关实验方法,HE 染色,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,检测指标 / 读出方式,实验检测指标和结果读出方式,荧光成像,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,检测指标 / 读出方式,实验检测指标和结果读出方式,蛋白表达,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,检测指标 / 读出方式,实验检测指标和结果读出方式,细胞死亡,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,检测指标 / 读出方式,实验检测指标和结果读出方式,增殖,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,检测指标 / 读出方式,实验检测指标和结果读出方式,凋亡,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,检测指标 / 读出方式,实验检测指标和结果读出方式,细胞周期,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,检测指标 / 读出方式,实验检测指标和结果读出方式,迁移能力,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,检测指标 / 读出方式,实验检测指标和结果读出方式,侵袭能力,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,组织处理,组织样本处理流程,组织切片,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,组织处理,组织样本处理流程,石蜡包埋,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,组织处理,组织样本处理流程,冰冻切片,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,组织处理,组织样本处理流程,组织固定,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,组织处理,组织样本处理流程,脱水透明,可修改/新增/删除整行
细胞与组织实验,细胞培养、处理、染色、组织切片和细胞功能检测,#2563eb,组织处理,组织样本处理流程,抗原修复,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,核酸提取与质控,DNA/RNA 提取、纯化和质量控制,DNA 提取,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,核酸提取与质控,DNA/RNA 提取、纯化和质量控制,RNA 提取,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,核酸提取与质控,DNA/RNA 提取、纯化和质量控制,总 RNA,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,核酸提取与质控,DNA/RNA 提取、纯化和质量控制,mRNA,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,核酸提取与质控,DNA/RNA 提取、纯化和质量控制,miRNA,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,核酸提取与质控,DNA/RNA 提取、纯化和质量控制,核酸纯化,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,核酸提取与质控,DNA/RNA 提取、纯化和质量控制,核酸定量,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,核酸提取与质控,DNA/RNA 提取、纯化和质量控制,Nanodrop,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,核酸提取与质控,DNA/RNA 提取、纯化和质量控制,Qubit,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,核酸提取与质控,DNA/RNA 提取、纯化和质量控制,凝胶电泳,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,扩增与定量,PCR 及核酸定量相关实验,PCR,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,扩增与定量,PCR 及核酸定量相关实验,RT-PCR,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,扩增与定量,PCR 及核酸定量相关实验,qPCR,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,扩增与定量,PCR 及核酸定量相关实验,RT-qPCR,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,扩增与定量,PCR 及核酸定量相关实验,ddPCR,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,扩增与定量,PCR 及核酸定量相关实验,引物设计,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,扩增与定量,PCR 及核酸定量相关实验,熔解曲线,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,扩增与定量,PCR 及核酸定量相关实验,内参基因,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,扩增与定量,PCR 及核酸定量相关实验,扩增效率,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,克隆与构建,载体、质粒和突变构建,质粒构建,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,克隆与构建,载体、质粒和突变构建,酶切连接,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,克隆与构建,载体、质粒和突变构建,Gibson Assembly,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,克隆与构建,载体、质粒和突变构建,Golden Gate,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,克隆与构建,载体、质粒和突变构建,TA 克隆,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,克隆与构建,载体、质粒和突变构建,载体构建,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,克隆与构建,载体、质粒和突变构建,突变构建,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,克隆与构建,载体、质粒和突变构建,菌落 PCR,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,克隆与构建,载体、质粒和突变构建,测序验证,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,EMSA,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,ChIP,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,ChIP-qPCR,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,ChIP-seq,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,RIP,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,CLIP,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,pull-down,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,DNA pull-down,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,RNA pull-down,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,双荧光素酶,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,SPR,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,BLI,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,酵母单杂交,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,分子互作 / 分子结合,DNA、RNA、蛋白等分子互作检测,酵母双杂交,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表达调控与报告实验,基因表达调控和报告基因实验,启动子活性,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表达调控与报告实验,基因表达调控和报告基因实验,报告基因,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表达调控与报告实验,基因表达调控和报告基因实验,过表达,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表达调控与报告实验,基因表达调控和报告基因实验,敲低,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表达调控与报告实验,基因表达调控和报告基因实验,敲除,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表达调控与报告实验,基因表达调控和报告基因实验,CRISPR,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表达调控与报告实验,基因表达调控和报告基因实验,siRNA,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表达调控与报告实验,基因表达调控和报告基因实验,shRNA,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表达调控与报告实验,基因表达调控和报告基因实验,转录调控,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表达调控与报告实验,基因表达调控和报告基因实验,翻译调控,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,测序与建库,不同类型测序文库构建,RNA-seq,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,测序与建库,不同类型测序文库构建,scRNA-seq,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,测序与建库,不同类型测序文库构建,ATAC-seq,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,测序与建库,不同类型测序文库构建,WGBS,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,测序与建库,不同类型测序文库构建,16S,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,测序与建库,不同类型测序文库构建,宏基因组,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,测序与建库,不同类型测序文库构建,建库,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,测序与建库,不同类型测序文库构建,接头连接,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,测序与建库,不同类型测序文库构建,文库质检,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,测序与建库,不同类型测序文库构建,片段筛选,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表观遗传检测,甲基化、染色质和组蛋白修饰检测,DNA 甲基化,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表观遗传检测,甲基化、染色质和组蛋白修饰检测,Bisulfite,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表观遗传检测,甲基化、染色质和组蛋白修饰检测,MeRIP,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表观遗传检测,甲基化、染色质和组蛋白修饰检测,m6A,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表观遗传检测,甲基化、染色质和组蛋白修饰检测,染色质开放性,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表观遗传检测,甲基化、染色质和组蛋白修饰检测,组蛋白修饰,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表观遗传检测,甲基化、染色质和组蛋白修饰检测,CUT&Tag,可修改/新增/删除整行
分子生物学实验,核酸提取、扩增定量、克隆构建、分子互作和测序建库,#7c3aed,表观遗传检测,甲基化、染色质和组蛋白修饰检测,CUT&RUN,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白检测,蛋白表达和定量检测,蛋白提取,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白检测,蛋白表达和定量检测,Western blot,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白检测,蛋白表达和定量检测,ELISA,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白检测,蛋白表达和定量检测,蛋白定量,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白检测,蛋白表达和定量检测,BCA,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白检测,蛋白表达和定量检测,抗体孵育,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白检测,蛋白表达和定量检测,化学发光,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白互作,蛋白互作和复合物分析,Co-IP,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白互作,蛋白互作和复合物分析,免疫沉淀,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白互作,蛋白互作和复合物分析,pull-down,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白互作,蛋白互作和复合物分析,质谱鉴定,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白互作,蛋白互作和复合物分析,蛋白复合物,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白制备,蛋白表达、纯化和保存,蛋白表达,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白制备,蛋白表达、纯化和保存,蛋白纯化,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白制备,蛋白表达、纯化和保存,His 标签,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白制备,蛋白表达、纯化和保存,GST 标签,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白制备,蛋白表达、纯化和保存,透析,可修改/新增/删除整行
蛋白与免疫实验,蛋白提取、检测、纯化和免疫相关实验,#db2777,蛋白制备,蛋白表达、纯化和保存,浓缩,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,动物 / 模型类型,实验动物和模型类型,小鼠模型,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,动物 / 模型类型,实验动物和模型类型,大鼠模型,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,动物 / 模型类型,实验动物和模型类型,斑马鱼,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,动物 / 模型类型,实验动物和模型类型,肿瘤模型,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,动物 / 模型类型,实验动物和模型类型,炎症模型,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,动物 / 模型类型,实验动物和模型类型,代谢模型,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,动物 / 模型类型,实验动物和模型类型,转基因模型,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,实验操作,动物实验操作,给药实验,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,实验操作,动物实验操作,尾静脉注射,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,实验操作,动物实验操作,腹腔注射,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,实验操作,动物实验操作,灌胃,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,实验操作,动物实验操作,动物手术,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,实验操作,动物实验操作,组织取材,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,实验操作,动物实验操作,灌流固定,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,实验操作,动物实验操作,安乐死,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,行为与评估,动物行为学和表型评估,行为学实验,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,行为与评估,动物行为学和表型评估,旷场实验,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,行为与评估,动物行为学和表型评估,水迷宫,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,行为与评估,动物行为学和表型评估,疼痛测试,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,行为与评估,动物行为学和表型评估,体重监测,可修改/新增/删除整行
动物实验,动物模型、给药、手术、行为学和取材,#16a34a,行为与评估,动物行为学和表型评估,生存曲线,可修改/新增/删除整行
微生物与病毒实验,细菌、病毒、感染模型和生物安全相关实验,#0891b2,培养与感染,微生物培养和感染操作,细菌培养,可修改/新增/删除整行
微生物与病毒实验,细菌、病毒、感染模型和生物安全相关实验,#0891b2,培养与感染,微生物培养和感染操作,病毒包装,可修改/新增/删除整行
微生物与病毒实验,细菌、病毒、感染模型和生物安全相关实验,#0891b2,培养与感染,微生物培养和感染操作,病毒感染,可修改/新增/删除整行
微生物与病毒实验,细菌、病毒、感染模型和生物安全相关实验,#0891b2,培养与感染,微生物培养和感染操作,慢病毒,可修改/新增/删除整行
微生物与病毒实验,细菌、病毒、感染模型和生物安全相关实验,#0891b2,培养与感染,微生物培养和感染操作,腺病毒,可修改/新增/删除整行
微生物与病毒实验,细菌、病毒、感染模型和生物安全相关实验,#0891b2,培养与感染,微生物培养和感染操作,菌落 PCR,可修改/新增/删除整行
微生物与病毒实验,细菌、病毒、感染模型和生物安全相关实验,#0891b2,培养与感染,微生物培养和感染操作,平板涂布,可修改/新增/删除整行
微生物与病毒实验,细菌、病毒、感染模型和生物安全相关实验,#0891b2,培养与感染,微生物培养和感染操作,菌液培养,可修改/新增/删除整行
微生物与病毒实验,细菌、病毒、感染模型和生物安全相关实验,#0891b2,培养与感染,微生物培养和感染操作,感染实验,可修改/新增/删除整行
微生物与病毒实验,细菌、病毒、感染模型和生物安全相关实验,#0891b2,培养与感染,微生物培养和感染操作,生物安全,可修改/新增/删除整行
药物与化合物实验,药物处理、浓度梯度、筛选和毒性检测,#ea580c,药物处理,药物和化合物处理实验,药物处理,可修改/新增/删除整行
药物与化合物实验,药物处理、浓度梯度、筛选和毒性检测,#ea580c,药物处理,药物和化合物处理实验,浓度梯度,可修改/新增/删除整行
药物与化合物实验,药物处理、浓度梯度、筛选和毒性检测,#ea580c,药物处理,药物和化合物处理实验,时间梯度,可修改/新增/删除整行
药物与化合物实验,药物处理、浓度梯度、筛选和毒性检测,#ea580c,药物处理,药物和化合物处理实验,IC50,可修改/新增/删除整行
药物与化合物实验,药物处理、浓度梯度、筛选和毒性检测,#ea580c,药物处理,药物和化合物处理实验,细胞毒性,可修改/新增/删除整行
药物与化合物实验,药物处理、浓度梯度、筛选和毒性检测,#ea580c,药物处理,药物和化合物处理实验,高通量筛选,可修改/新增/删除整行
药物与化合物实验,药物处理、浓度梯度、筛选和毒性检测,#ea580c,药物处理,药物和化合物处理实验,化合物溶解,可修改/新增/删除整行
药物与化合物实验,药物处理、浓度梯度、筛选和毒性检测,#ea580c,药物处理,药物和化合物处理实验,DMSO,可修改/新增/删除整行
药物与化合物实验,药物处理、浓度梯度、筛选和毒性检测,#ea580c,药物处理,药物和化合物处理实验,剂量反应,可修改/新增/删除整行
成像与仪器操作,显微成像、仪器 SOP 和图像采集,#4f46e5,仪器平台,仪器使用和设置,共聚焦显微镜,可修改/新增/删除整行
成像与仪器操作,显微成像、仪器 SOP 和图像采集,#4f46e5,仪器平台,仪器使用和设置,荧光显微镜,可修改/新增/删除整行
成像与仪器操作,显微成像、仪器 SOP 和图像采集,#4f46e5,仪器平台,仪器使用和设置,流式细胞仪,可修改/新增/删除整行
成像与仪器操作,显微成像、仪器 SOP 和图像采集,#4f46e5,仪器平台,仪器使用和设置,酶标仪,可修改/新增/删除整行
成像与仪器操作,显微成像、仪器 SOP 和图像采集,#4f46e5,仪器平台,仪器使用和设置,离心机,可修改/新增/删除整行
成像与仪器操作,显微成像、仪器 SOP 和图像采集,#4f46e5,仪器平台,仪器使用和设置,电泳仪,可修改/新增/删除整行
